source,manufacturer,model_name,year,boat_type,length_loa,beam,draft,dry_weight,hull_material,max_hp,engine_make_type,number_of_engines,fuel_type,fuel_capacity,passenger_capacity,price,dealer_name,dealer_location,source_listing_url,description
boatdealers.ca,Smoker Craft,Voyager 16 TL SS Boat Package,2026,FISHING,16,,,,,,,,,,,"$15,173.00 CAD",Quad Expert,"Hammond, Ontario",https://www.boatdealers.ca/boats-for-sale/668857/smoker-craft-voyager-16-tl-ss-boat-package-hammond-ontario,
boatdealers.ca,Regal,FasDeck 22,2020,Deck Boat,22'4,8'6,1'7,2850 lbs,,240.0,VOLVO PENTA V6,1,Gas,,12,"$83,900.00 CAD",Lions Gate Yachts,"Manotick, Ontario",https://www.boatdealers.ca/boats-for-sale/604819/regal-fasdeck-22-manotick-ontario,"FINANCING AVAILABLE 2020 Regal 22 FasDeck: Low-Hour Luxury Deck Boat Discover the perfect blend of a sport boat's performance and a deck boat's spaciousness with this highly sought-after 2020 Regal 22 FasDeck. With only 270 original hours on the robust Volvo Penta engine, this boat has been lightly used and is primed for its next owner to enjoy. The FasDeck design maximizes every inch of space, providing the ride quality of a bowrider but with the comfort and capacity of a much larger vessel. Boat Highlights Year: 2020 Make: Regal Model: 22 FasDeck Engine: Single Volvo Penta Sterndrive 280HP model Engine Hours: Only 270 —Very Low for the Model Year Hull Design: Regal’s Patented FasTrac Hull Delivers a smooth, fast, and remarkably fuel-efficient ride by reducing drag. Capacity: Rated for up to 12 Passengers Length Overall (LOA): 22' 4"" Beam: 8' 6"" Key Features & Amenities This 22 FasDeck is equipped with premium features designed for all-day comfort and fun: Ultimate Versatility: The open, full-beam bow seating and deep cockpit make this an ideal boat for cruising, entertaining, and all watersports. Spacious Head Compartment: Features a fully enclosed head (toilet) —a massive convenience and rare find in a boat this size. Social Seating: Includes Regal’s innovative UltraLounge multi-position seating at the transom, easily converting from a forward-facing bench to a massive aft sun pad. Premium Entertainment: Equipped with a Fusion Marine Stereo system with Bluetooth, ensuring high-quality sound throughout the cockpit. Watersports Excellence: Comes ready for action with a Pop-up Stainless Ski Tow and ample in-floor storage for gear. featuring a PowerTower (wakeboard tower) and a bow ladder. High-End Finishes: Features include a vinyl-wrapped dash, premium upholstery with French stitching, and blue LED cockpit lighting. Convenience: Transom walk-thru, integrated cooler storage, and MarineTred Non-Skid throughout. Manufacturer's trailer is also included. Experience the difference of the FasTrac hull and the luxury of Regal's design. Contact Johnny Kulwartian, Yacht Broker at Lions Gate Yachts, for more information and to arrange a private viewing of this fantastic, low-hour vessel."
boatdealers.ca,Chaparral,275 SSi,2008,POWER,27,,,,,,,,,,,"$92,000.00 CAD",Beaches Marine Brokerage,"Manotick, Ontario",https://www.boatdealers.ca/boats-for-sale/591865/chaparral-275-ssi-manotick-ontario,
boatdealers.ca,Maxum,3200 SCR,1998,Cruisers,37'10,11,3'8,11000 lbs,Fiberglass,250.0,Mercruiser 5.7L,2,Gas,,,"$50,000.00 CAD",Benoit Chretien,"Gatineau, Quebec",https://www.boatdealers.ca/boats-for-sale/670955/maxum-3200-scr-gatineau-quebec,"The 1998 Maxum 3200 SCR is offering an impressive blend of spacious accommodations, solid construction, and practical cruising comfort. Built on a solid fiberglass hull with a wide 11-foot beam, the 3200 SCR delivers an exceptionally roomy interior and stable ride that continues to make this model popular among freshwater cruisers today. Make an offer: 613-606-1437 (Text message) Notable Features: Freshwater boat Twin MerCruiser 5.7L V8 engines with Bravo-Two drives Only 600 hours Full camper canvas – Enclosure in great condition for year-round use Leather seats in excellent condition Recently added oversized extended swim platform Concealed swim ladder Large social cockpit layout with nice carpet flooring Wet bar with ice maker and sink Audio stereo system Standard Horizon VHF radio compass Walk-through windshield Bow sun pad Remote spotlight Windlass anchor system Stainless steel anchor Galley – Equipped with refrigerator, microwave and stove Double stainless-steel sink Refrigerator and freezer Updated corian countertop Convertible dinette Convertible mid-cabin berth Private head Updated batteries (5) Lightning throughout Includes fenders and dock lines Includes everything you need to start your season: kitchen accessories, two extra anchors and many boat accessories. 10 life jackets, life safety kit For more info Text message: 613-606-1437 email: bchretien@hotmail.com"
boatdealers.ca,LUND,1775 CROSSOVER,2025,,17,,,1750 lbs,,,,,,,,"$74,995.00 CAD",Pirate Cove Marina,"Kemptville, Ontario",https://www.boatdealers.ca/boats-for-sale/665838/lund-1775-crossover-kemptville-ontario,2025 LUND 1775 CROSSOVER
boatdealers.ca,Sea Ray,450 Sundancer,1995,Cruisers,45,13'11,3'7,23500 lbs,,420.0,Caterpillar 3126,2,Diesel,,,"$198,800.00 CAD",Ita Yachts Canada,"Gatineau, Quebec",https://www.boatdealers.ca/boats-for-sale/591861/sea-ray-450-sundancer-gatineau-quebec,"SEA RAY 450 SUNDANCER À VENDRE – 2 x CAT x 420 hp (shafts) avec 2600 heures – Bow thruster – Seadek – Panneaux solaires et inverter – Nouvelles toiles – Intérieur refait à neuf avec une nouvelle TV LED dans le salon – Nouveau système de son ($15,000) – Nouveau GPS – Nouvelles batteries – 2 chambres et deux toilettes – Douche séparé pour la chambre des propriétaires Éligible a une vente sans taxe entre deux résidents du Québec SEA RAY 450 SUNDANCER FOR SALE This 1995 Sea Ray 450 Sundancer combines timeless elegance with modern updates, offering both comfort and performance. With twin Caterpillar 3126 engines, recent extensive upgrades, and new flooring and upholstery throughout, this yacht is ready for cruising in style. The 1995 Sea Ray 450 Sundancer is a luxurious and spacious express cruiser that combines performance, comfort, and style. Measuring 45 feet in length, this boat is perfect for those looking to enjoy extended stays on the water or simply cruise in comfort. Powered by twin Cat 3126 diesel engines, it offers impressive power and smooth handling, making it ideal for both leisurely cruises and longer adventures. The sleek, modern exterior features a large cockpit with plenty of seating, a wet bar, and a swim platform for easy access to the water. Below deck, the 450 Sundancer is equipped with a well-designed and spacious interior, including a large salon, a full galley, and two private staterooms. The master stateroom boasts a queen-size bed and ample storage, while the guest stateroom offers additional sleeping arrangements. The boat also includes two heads, with separate shower for the master stateroom, providing extra convenience for guests. With its luxurious features, ample living space, and excellent performance, the 1995 Sea Ray 450 Sundancer is the ideal choice for those seeking a premium cruising experience on the water."
boatdealers.ca,Bayliner,DX 2000,2023,Deck Boat,19'6,8'1,3,2810 lbs,,115.0,Mercury 115 ElPT 4S EFI CT,,Gas,,,"$42,900.00 CAD",10890090 Canada Inc.,"Ottawa, Ontario",https://www.boatdealers.ca/boats-for-sale/667010/bayliner-dx-2000-ottawa-ontario,"Side console layout with maximum seating. Rich upholstery, lots of storage and a transitional aft lounger for total comfort. The exterior is equally appealing thanks to sleek hull sculpting and stylish shear lines. Known for its wide beam-forward design and 17-degree deadrise, it provides stability, ample seating, and in-floor storage. Factory Installed Options: • 115HP XL EFI, 4 STROKE MERCURY OUTBOARD • Full Hull Color - Rally Red • AUTOMATIC BILGE PUMP • Bimini, 6' Top w/Boot 1 • Dx Series Coastline Interior (tan) • Engine Water Separator/fuel Filter (sgl) • Lowrance Elite 3x Fishfinder • Maximum Seating Layout • SNAP-ON COVER • Snap-in Seagrass Flooring - Tan • Stainless Steel Upgrade Package • PAINTED S/ A TRAILER W/ BRAKES"
boatdealers.ca,Malibu,M235,2016,Ski and Wakeboard,23'5,8'6,2'8,,,,,,,295L,,"$134,900.00 CAD",Hurst Marina,"Manotick, Ontario",https://www.boatdealers.ca/boats-for-sale/670787/malibu-m235-manotick-ontario,"This M-235 was custom ordered and sold new by Hurst Marina in 2016. Stunning Dark Blue and Machine silver metallic exterior with white accents and a matching grey/white interior.. Fully loaded with clamping board racks, 4 tower speakers, M series stereo upgrade, Power helm seat, malibu command steering wheel, rearview camera, & full lighting package. Powered by a naturally aspirated Indmar 6.2L -450 with just 262 hours. Equipped with surf gates & Power wedge iii for unlimited wake customizations. Recent service work completed to Surf systems, many new parts installed. Factory fit Tri-Axle trailer included! Mechanical report is being completed and will be available upon request. Original Build Sheet can be seen below. Specs: Length 23' 5"" Length Incl Platform 26'3"" Beam 102"" Draft 32"" Manufacturer's Reported Weight (lbs.) 6200 Fuel Capacity 295L Standard Ballast 2,360 lbs Maximum Ballast 5,000lbs"
boatdealers.ca,remeq,PSC-2720-G PONTOON 18-22',2026,Pontoon,18,,,,,,,,,,,"$3,395.00 CAD",Rockland Marine & Equipment,"Rockland, Ontario",https://www.boatdealers.ca/boats-for-sale/668191/remeq-psc-2720-g-pontoon-18-22-rockland-ontario,"2026 remeq PSC-2720-G PONTOON 18-22' Specifications: Boat lenght: 18' - 22' Trailer length: 25' 6'' Trailer ' Type of boarding: Pontoon Suspension: 2,720 lbs leafs spring Trailer weight: 760 lbs Effective load: 1,960 lbs Electric connecter: Flat 4 pins Jack: 1,200 lbs Break: Not Available Fenders: Grey plastic 12'' Coating: Galvanized"
boatdealers.ca,Crownline,205SS,2021,Bowrider,21'9,8,,3816 lbs,,200.0,Mercury,,Gas,41 gal,9,"$59,000.00 CAD",Long Island Marina,"Kars, Ontario",https://www.boatdealers.ca/boats-for-sale/668007/crownline-205ss-kars-ontario,"Length Overall (LOA): 21' 9"" (6.63 m) Beam: 96"" (2.44 m) Dry Weight: Approx. 3,816 lbs (1,731 kg) Fuel Capacity: 41 gal (155 L) Deadrise: 18° Draft (Drive Up): 20"" (51 cm) Seating Capacity: 9 Persons Hull: F.A.S.T. Tab® design for efficiency and stability. Interior: U-wrap seating with performance bucket seats (flip-up bolsters) and a rear sunbed with a flip-up backrest. Standard Equipment: Extended swim platform with mat, snap-in carpet, Bimini top, and premium sound systems. Performance: Typically hits top speeds of 40-45 knots with efficient cruising speeds in the 30-knot range. Cleats: 6"" stainless steel pull-up cleats (6 total) Ladder: 4-step stainless steel boarding ladder Canvas: Bimini top and color-matched mooring cover Mercruiser 4.5L MPI ALPHA 200HP Trailer Included"
boatdealers.ca,Bayliner,185,2010,POWER,,,,,,,,,,,,"$16,129.00 CAD",Pride Marine Group Ottawa,"Ottawa, Ontario",https://www.boatdealers.ca/boats-for-sale/668553/bayliner-185-ottawa-ontario,
boatdealers.ca,Princecraft,Jazz 17,2026,Pontoon,17'7,8'1,,1307 lbs,,25.0,Mercury,,Gas,,,"$31,995.00 CAD",Laurentian Marine Sales,"Ottawa, Ontario",https://www.boatdealers.ca/boats-for-sale/666882/princecraft-jazz-17-ottawa-ontario,comes with mooring cover Black edition includes black railings and darker upholstery / deluxe captains chair concert package with 160 watts sstereo gauge package / LED docking lights smoked wind screen in dash USB plug
